student_key,course_key,snapshot_date,academic_period_key,total_events,active_days,unique_materials,after_hours_events,weekend_events,avg_events_per_active_day,events_per_week,weekend_ratio,after_hours_ratio,lecture_material_views,assignment_views,course_page_views,forum_views,quiz_views,top_material_type,no_activity_flag,risk_label
83,1,2026-07-07,2,325,50,22,92,61,6.5,45.5,0.18769230769230769,0.28307692307692306,35,69,212,7,0,Course Page,0,1
84,1,2026-07-07,2,353,46,23,160,45,7.673913043478261,53.71739130434783,0.1274787535410765,0.45325779036827196,60,58,227,3,0,Course Page,0,0
85,1,2026-07-07,2,191,35,18,87,43,5.457142857142857,38.2,0.225130890052356,0.45549738219895286,14,72,103,1,0,Course Page,0,1
86,1,2026-07-07,2,343,47,31,174,43,7.297872340425532,51.08510638297872,0.12536443148688048,0.5072886297376094,82,66,165,16,0,Course Page,0,1
87,1,2026-07-07,2,120,14,15,27,13,8.571428571428571,60.0,0.10833333333333334,0.225,12,60,45,1,0,Assignment,0,1
88,1,2026-07-07,2,109,19,11,27,28,5.7368421052631575,40.1578947368421,0.25688073394495414,0.24770642201834864,13,37,55,0,0,Course Page,0,0
89,1,2026-07-07,2,284,62,20,165,64,4.580645161290323,32.064516129032256,0.22535211267605634,0.5809859154929577,25,144,100,4,0,Assignment,0,1
90,1,2026-07-07,2,502,51,31,95,64,9.843137254901961,68.90196078431373,0.12749003984063745,0.1892430278884462,77,171,227,15,0,Course Page,0,0
91,1,2026-07-07,2,311,51,27,149,41,6.098039215686274,42.68627450980392,0.13183279742765272,0.4790996784565916,55,78,152,13,0,Course Page,0,0
92,1,2026-07-07,2,488,51,40,75,94,9.568627450980392,66.98039215686275,0.19262295081967212,0.15368852459016394,116,146,180,28,0,Course Page,0,1
93,1,2026-07-07,2,188,31,23,45,7,6.064516129032258,42.4516129032258,0.03723404255319149,0.2393617021276596,54,53,63,7,0,Course Page,0,1
